source,group,q,n_cells_current_support,firing_rate_hz_median,firing_rate_hz_n,active_rate_hz_median,active_rate_hz_n,spike_count_median,spike_count_n,train_duration_ms_median,train_duration_ms_n,mean_isi_ms_median,mean_isi_ms_n,median_isi_ms_median,median_isi_ms_n,adaptation_index_median,adaptation_index_n,cycle_period_ms_median,cycle_period_ms_n,x_range_median,x_range_n,y_range_median,y_range_n,z_range_median,z_range_n,mean_speed_median,mean_speed_n,mean_divergence_median,mean_divergence_n,fraction_positive_divergence_median,fraction_positive_divergence_n,cycle_arc_length_median,cycle_arc_length_n
experiment,SCA3,0.25,3,31.03132951653941,3,30.54285090099288,1,10.140624999999725,3,628.3499999999989,1,34.826785714285805,1,34.800000000000146,1,-0.0311956845284561,1,,,,,,,,,,,,,,,,
experiment,SCA3,0.5,5,28.85285735817866,5,32.441031741109924,5,29.0,5,738.1812500000001,5,31.01500618027387,5,30.960742187500035,5,0.2785832681854549,5,,,,,,,,,,,,,,,,
experiment,SCA3,0.75,6,34.2170158138794,6,39.18301542523933,6,30.76953125,6,719.9428710937468,6,25.93110633705061,6,25.924218750000083,6,0.1463456050806487,6,,,,,,,,,,,,,,,,
experiment,WT,0.25,9,34.02093596059097,9,40.33209849279704,7,29.453125000000068,9,716.8785156250046,7,25.07960398706908,7,22.089062500000043,7,0.1186988624667825,7,,,,,,,,,,,,,,,,
experiment,WT,0.5,12,55.24335073653718,12,63.44496232322643,11,49.830078125000014,12,944.6054687499998,11,15.935666666666624,11,15.667578124999965,11,0.1334763831006293,11,,,,,,,,,,,,,,,,
experiment,WT,0.75,12,75.3347228121875,12,79.4637496687699,12,68.42675781249979,12,922.2349121093754,12,12.624707059704653,12,12.49841308593756,12,0.1509664714620029,12,,,,,,,,,,,,,,,,
model_best,SCA3,0.25,3,31.03132951653941,3,42.13399361461769,1,10.140624999999725,3,394.9603576906864,1,23.8760748670321,1,24.552068405595776,1,0.1533834531770848,1,24.55206840559577,1.0,2.1622783238165977,1.0,4.737213045599599,1.0,0.0933729493634766,1.0,0.5417849552484223,1.0,-6.209057484280882,1.0,0.0594059405940594,1.0,11.193412461324572,1.0
model_best,SCA3,0.5,5,29.55665024630542,5,38.88156930232033,5,29.527343749999947,5,745.8546689438631,5,25.719126515305625,5,27.071113592432997,5,0.0749185928769783,5,27.071113592432997,5.0,3.1376138018629525,5.0,8.802089885558852,5.0,0.0970320217936704,5.0,0.6281251093817204,5.0,-8.951836519322377,5.0,0.0594059405940594,5.0,19.710442058120957,5.0
model_best,SCA3,0.75,6,42.58189163306922,6,45.99238887367967,6,31.82421875000002,6,730.3937363221391,6,22.052081260905624,6,23.80040602642617,6,0.1559844791441653,6,23.80227280472498,6.0,3.1455536801606816,6.0,8.494577873278669,6.0,0.0693452059072628,6.0,0.7774842202936874,6.0,-8.166699926144847,6.0,0.0742767636138614,6.0,19.217008239341908,6.0
model_best,WT,0.25,9,46.2823275862068,9,48.24358768072594,7,37.41015624999995,9,760.4321032465838,7,20.876758420063474,7,20.30177988229126,7,0.0855891467685381,7,20.30177988229126,7.0,2.6628114348221805,7.0,6.264912604961406,7.0,0.0405053807601525,7.0,0.7970881341429005,7.0,-6.543759519772437,7.0,0.0860922029702969,7.0,14.371005391425102,7.0
model_best,WT,0.5,12,64.21193857385558,12,73.56300935505463,11,50.66601562499985,12,946.214183348492,11,13.615725933654865,11,14.230008961669824,11,0.0822252843990716,11,14.243607154118385,11.0,2.700628799930997,11.0,6.577834978457969,11.0,0.0361410756515783,11.0,1.0372395153158291,11.0,-6.042754639668083,11.0,0.1188118811881188,11.0,15.024692327189792,11.0
model_best,WT,0.75,12,75.1974014491323,12,81.81204419545895,12,69.13378906249972,12,954.7623647881014,12,12.275181757764296,12,12.754923880258238,12,0.1375341363797997,12,12.390956670094225,11.0,2.756883609331878,11.0,6.764266639949599,11.0,0.033306297253282,11.0,1.265240740723898,11.0,-5.640708386223066,11.0,0.1319422957920791,11.0,15.473907079802458,11.0
