group,cell_id,capacitance_pF,n_frozen_spiking_sweeps,frozen_v3_1_decision,post_v3_9_auto_cell_decision,spike_only_auto_cell_decision,review,comment,primary_support,cell_loss,spike_train_loss,threshold_loss,n_sweeps,n_sweeps_accept,n_sweeps_review,n_sweeps_bad,fraction_sweeps_accept,fraction_sweeps_nonbad,fraction_sweeps_bad,median_circle_f1,median_count_error_fraction,mean_vp_loss,mean_raw_vp_loss,mean_aligned_vp_loss,median_abs_latency_shift_ms,max_abs_latency_shift_ms,n_large_latency_shift_sweeps,n_alignment_count_changes,threshold_nonspiking_current_pA,threshold_first_spiking_current_pA,threshold_bracket_width_pA,threshold_nonspiking_model_spikes,threshold_first_spiking_model_spikes,threshold_nonspiking_pass,threshold_first_spiking_pass,threshold_pass,b,r,s,kappa_I,kappa_over_Cm,s_bound_min,s_bound_max,s_bound_position_fraction,s_below_v3_8_lower_bound,s_near_lower_1pct,s_near_lower_2pct,s_near_lower_5pct,best_label,global_rescue_used,elapsed_s,seed_source,seed_cell_loss,seed_b,seed_r,seed_s,seed_kappa_I,seed_on_v3_9_objective,seed_on_v3_9_spike_train_loss,seed_on_v3_9_threshold_loss,delta_total_loss_vs_seed_same_objective,delta_spike_train_loss_vs_seed_same_objective,v3_1_cell_loss,v3_1_b,v3_1_r,v3_1_s,v3_1_kappa_I,v3_8_cell_loss,v3_8_b,v3_8_r,v3_8_s,v3_8_kappa_I,delta_b_vs_seed,delta_r_vs_seed,delta_s_vs_seed,delta_kappa_I_vs_seed,identifiability,final_v3_9_decision,identifiability_base_loss,identifiability_spike_train_loss,identifiability_threshold_loss,identifiability_median_abs_latency_shift_ms,identifiability_max_abs_latency_shift_ms,latency_realigned_for_every_alternative,id_b,id_alt_loss_b,id_r,id_alt_loss_r,id_s,id_alt_loss_s,id_kappa_I,id_alt_loss_kappa_I,analysis_set,animal_id,animal_id_status,experiment_day_code,animal_resolved,rheobase_pA,rheobase_J,n_spiking_sweeps,max_exp_spikes,current_at_max_rate_pA,J_at_max_rate,highest_spiking_current_pA,exp_spikes_at_highest_current,high_current_retention,depol_block_index,median_exp_latency_ms,min_exp_latency_ms,median_exp_train_duration_ms,median_abs_last_spike_error_ms,median_vp_loss_sweep
SCA3,SCA3_01,135.7923410493828,3,ACCEPT,REVIEW,REVIEW,accept,,MULTI_SWEEP,0.74060225127201,0.74060225127201,0,3,1,1,1,0.333333333333333,0.666666666666667,0.333333333333333,0.878787878787879,0.275862068965517,0.651738131776929,0.951405287516581,0.651738131776929,210.718295393702,336.306721726529,2,0,450,500,50,0,3,True,True,True,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.0010665472367518,0.05,15,0.0412437367675228,False,False,False,True,frozen_best_seed,True,312.462181806564,v3_8_final,0.740602251271781,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.740602251272028,0.740602251272028,0,-1.77635683940025e-14,-1.77635683940025e-14,0.848281407384154,3.18248879101772,0.0005419726715578,0.784261172306542,0.1462791210485846,0.740602251271781,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.0,0.0,0.0,-8.32667268468868e-17,NONIDENTIFIABLE,ACCEPT,0.7379345848982481,0.7379345848982481,0.0,210.71896732551787,336.30456830195527,True,IDENTIFIABLE,1.127658676817443,NONIDENTIFIABLE,0.8162435645311663,IDENTIFIABLE,1.144713851305568,IDENTIFIABLE,1.1227511714733065,PRIMARY_MULTI_SWEEP,SCA3_DD20,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,20.0,True,500,3.682092790624826,3,47,600.0,4.418511348749795,600.0,47,1.0,0.0,262.69999999999993,20.69999999999999,736.5000000000001,198.8532294782451,0.5419076737647344
SCA3,SCA3_02,113.6696547133292,11,ACCEPT,REVIEW,REVIEW,accept,,MULTI_SWEEP,0.619018284176733,0.619018284176733,0,11,5,4,2,0.454545454545455,0.818181818181818,0.181818181818182,0.891566265060241,0.189189189189189,0.560447584290243,0.988310922114265,0.560447584290243,4.76665807289083,9.15058675099027,0,0,50,100,50,0,8,True,True,True,3.39580213794053,0.011865463263355,1.06199021527079,0.269834693307222,0.0023738498545432,0.05,15,0.0676916531953704,False,False,False,False,target_refine,True,533.885442495346,v3_8_final,0.61904116697472,3.3960993049163,0.011833458266254,1.06301107745481,0.270010548081696,0.61904116697472,0.61904116697472,0,-2.28827979874557e-05,-2.28827979874557e-05,0.787934675280085,3.78513597394137,0.0078350837775603,0.870075322048888,0.1283684399437746,0.61904116697472,3.3960993049163,0.011833458266254,1.06301107745481,0.270010548081696,-0.0002971669757734,3.20049971009821e-05,-0.0010208621840224,-0.0001758547744737382,NONIDENTIFIABLE,ACCEPT,0.6189832827822657,0.6189832827822657,0.0,4.76568535218852,9.152372537365489,True,NONIDENTIFIABLE,0.6559585050527506,NONIDENTIFIABLE,0.6629104962264583,IDENTIFIABLE,0.8300339783125935,NONIDENTIFIABLE,0.6961611184391442,PRIMARY_MULTI_SWEEP,SCA3_DD20,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,20.0,True,100,0.8797422694051146,11,38,450.0,3.95884021232302,600.0,9,0.2368421052631578,0.7631578947368421,6.699999999999989,4.200000000000017,403.9,7.706962917795863,0.6938930281056528
SCA3,SCA3_04,167.0030401234568,5,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.675603056335111,0.675603056335111,0,5,3,2,0,0.6,1.0,0.0,0.933333333333333,0.0571428571428571,0.659829246811301,0.805534095796673,0.659829246811301,2.57031456709227,3.31082882103945,0,0,250,300,50,0,1,True,True,True,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.0027160853472497,0.05,15,0.106424621705001,False,False,False,False,frozen_best_seed,True,302.776971340179,v3_8_final,0.675603056335118,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.675603056335111,0.675603056335111,0,-1.11022302462516e-16,-1.11022302462516e-16,0.693842077530019,3.70215823651948,0.0219396625637832,1.54517797511585,0.372932942420968,0.675603056335118,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.0,-4.16333634234434e-17,0.0,5.55111512312578e-17,NONIDENTIFIABLE,ACCEPT,0.6754869052170108,0.6754869052170108,0.0,2.569258335734066,3.310420666693366,True,NONIDENTIFIABLE,0.7146643199169594,NONIDENTIFIABLE,0.7642801403843821,NONIDENTIFIABLE,0.7034159324050357,NONIDENTIFIABLE,0.7642727245617333,PRIMARY_MULTI_SWEEP,SCA3_DD20,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,20.0,True,300,1.7963744838311049,5,35,450.0,2.69456172574666,600.0,5,0.1428571428571428,0.8571428571428572,5.899999999999977,5.399999999999977,134.00000000000003,3.4447784524902048,0.643618335395152
SCA3,SCA3_05,226.675361111112,6,ACCEPT,BAD,BAD,accept,,MULTI_SWEEP,0.770805777668297,0.770805777668297,0,6,2,1,3,0.333333333333333,0.5,0.5,0.713553979511426,0.615686274509804,0.642744202160901,0.933626797024049,0.642744202160901,3.57249503251928,6.364029266061,0,0,250,300,50,0,2,True,True,True,4.57048885142292,0.0267222541757113,1.35804074575354,0.370970712347174,0.0016365727202496,0.05,15,0.0874943642644506,False,False,False,False,target_refine,True,365.168730974197,v3_8_final,0.771493224318126,4.57449225886944,0.0339691342277845,1.32248016033168,0.355897772987648,0.771493224318129,0.771493224318129,0,-0.0006874466498323,-0.0006874466498323,0.799068873934865,3.52627417307143,0.0044715829644904,1.45677784289062,0.341935326060804,0.771493224318126,4.57449225886944,0.0339691342277845,1.32248016033168,0.355897772987648,-0.0040034074465191,-0.0072468800520731,0.0355605854218564,0.0150729393595266,NONIDENTIFIABLE,ACCEPT,0.7638181270429483,0.7638181270429483,0.0,3.5729797364978064,6.3644048630085805,True,NONIDENTIFIABLE,0.9085060105692097,NONIDENTIFIABLE,0.8233085485171204,NONIDENTIFIABLE,0.8173871116499091,NONIDENTIFIABLE,0.8565665889061481,PRIMARY_MULTI_SWEEP,SCA3_DD20,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,20.0,True,300,1.3234786459784027,6,32,600.0,2.646957291956815,600.0,32,1.0,0.0,9.049999999999995,8.099999999999994,547.3,16.898969230929538,0.8135658229550691
SCA3,SCA3_06,162.849636923077,2,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.717729344197976,0.717729344197976,0,2,2,0,0,1.0,1.0,0.0,0.985031917235307,0.0294871794871795,0.710357549326181,1.37874746009594,0.710357549326181,19.4494629638788,25.7506754553874,0,0,400,450,50,0,5,True,True,True,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,0.0013958943336625,0.05,15,0.117520423583575,False,False,False,False,target_refine,True,230.308632135391,v3_8_final,0.742994685670605,3.3123239958169,0.0002289356454347,1.78257066507105,0.230732256698274,0.742994685671103,0.742994685671103,0,-0.025265341473127,-0.025265341473127,0.845390653153009,3.50288629926544,0.0010460087194798,1.05199416055693,0.1386177493710842,0.742994685670605,3.3123239958169,0.0002289356454347,1.78257066507105,0.230732256698274,0.0088026517525627,-5.64003777536087e-05,0.0243596675034032,-0.0034113712783478,IDENTIFIABLE,ACCEPT,0.7159515126056417,0.7159515126056417,0.0,19.450911687565444,25.75210288101532,True,IDENTIFIABLE,1.0672149496951606,IDENTIFIABLE,1.0532076064124107,IDENTIFIABLE,1.0820108650321183,IDENTIFIABLE,1.1452168822041564,PRIMARY_MULTI_SWEEP,SCA3_DD24,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,24.0,True,450,2.763285251981005,2,39,600.0,3.684380335974675,600.0,39,1.0,0.0,65.29999999999998,53.19999999999999,930.7,4.585010318448326,0.7103575493261811
SCA3,SCA3_09,246.182697530864,5,ACCEPT,REVIEW,REVIEW,accept,,MULTI_SWEEP,0.859791933091499,0.859791933091499,0,5,2,3,0,0.4,1.0,0.0,0.864864864864865,0.176470588235294,0.820942302330103,1.19639328548332,0.820942302330103,168.84102154556,224.970168639063,2,0,250,300,50,0,5,True,True,True,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.0012811768082037,0.05,15,0.0827868666063706,False,False,False,False,frozen_best_seed,True,403.110746145248,v3_8_final,0.859791933091499,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.859791933091489,0.859791933091489,0,9.547918011776353e-15,9.547918011776353e-15,1.1713485270309,3.44408415068283,0.0009083940164503,0.536088606171756,0.0962936944297142,0.859791933091499,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.0,1.0842021724855e-19,0.0,-1.665334536937734e-16,NONIDENTIFIABLE,ACCEPT,0.8591968856334808,0.8591968856334808,0.0,168.84205305476274,224.97090572082897,True,NONIDENTIFIABLE,1.0614275506941326,IDENTIFIABLE,1.174464267833638,IDENTIFIABLE,1.1255872468824983,NONIDENTIFIABLE,0.8928539522984064,PRIMARY_MULTI_SWEEP,SCA3_DD24,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,24.0,True,300,1.218607168614638,5,42,600.0,2.437214337229275,600.0,42,1.0,0.0,198.9,20.799999999999983,800.9999999999999,152.73117110321095,0.7452543823149926
WT,WT_03,423.225185185186,6,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.492359654723775,0.492359654723775,0,6,5,1,0,0.833333333333333,1.0,0.0,0.985396825396825,0.0246521476104053,0.475597590315287,0.54894919617343,0.475597590315287,2.60365840343702,14.4003641731429,0,0,350,400,50,0,46,True,True,True,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,0.0018286539981182,0.05,15,0.0475008137636116,False,False,False,True,frozen_best_seed,True,586.18879699707,v3_8_final,0.492359654723774,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,0.492359654723774,0.492359654723774,0,3.88578058618805e-16,3.88578058618805e-16,0.505445840450653,3.7153063029314,0.0010295470155326,0.862212233307832,0.932558346043278,0.492359654723774,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,0.0,-4.16333634234434e-17,0.0,0.0,NONIDENTIFIABLE,ACCEPT,0.4913205165565948,0.4913205165565948,0.0,2.6021891615112924,14.400127588938073,True,IDENTIFIABLE,0.7049763043704712,NONIDENTIFIABLE,0.557574847805127,NONIDENTIFIABLE,0.5487699022729832,NONIDENTIFIABLE,0.5723101341372341,PRIMARY_MULTI_SWEEP,WT_150130,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,,True,400,0.945123338595685,6,103,650.0,1.53582542521799,700.0,76,0.7378640776699029,0.2621359223300971,15.700000000000005,7.5,979.4,8.172556045456133,0.4133155522299974
WT,WT_04,1052.480074074074,8,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.695298965417483,0.695298965417483,0,8,6,2,0,0.75,1.0,0.0,0.972616380383371,0.0563157894736842,0.674591218361146,0.803717187144984,0.674591218361146,16.6500863986265,38.7884916708482,0,0,200,250,50,0,11,True,True,True,3.07526787577599,0.0366751221750693,0.519708187871091,1.23801284677982,0.0011762815062023,0.05,15,0.0314186078843539,False,False,False,True,frozen_best_seed,True,839.855800628662,v3_8_final,0.695298965417486,3.07526787577599,0.0366751221750693,0.519708187871091,1.23801284677982,0.695298965417486,0.695298965417486,0,-2.997602166487921e-15,-2.997602166487921e-15,0.819095294277755,3.41230334818037,0.0009689371640837,0.615039954948797,1.504520071490014,0.695298965417486,3.07526787577599,0.0366751221750693,0.519708187871091,1.23801284677982,0.0,-6.93889390390723e-18,0.0,-8.88178419700126e-16,NONIDENTIFIABLE,ACCEPT,0.6957507776958705,0.6957507776958705,0.0,16.650484661729003,38.7888622842546,True,NONIDENTIFIABLE,0.816606929072162,NONIDENTIFIABLE,0.8012677425885472,NONIDENTIFIABLE,0.8395482413124595,NONIDENTIFIABLE,0.8581729322794552,PRIMARY_MULTI_SWEEP,WT_150305,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,,True,250,0.2375341882077331,8,80,650.0,0.617588889340105,650.0,80,1.0,0.0,37.29999999999998,22.099999999999994,955.55,21.565656615936632,0.6351368000282676
WT,WT_06,786.80267037037,12,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.528053725941598,0.528053725941598,0,12,10,1,1,0.833333333333333,0.916666666666667,0.0833333333333333,0.9867849069727,0.0263888888888889,0.498454346367311,0.598180583531275,0.498454346367311,3.5829792563329,11.7554990963196,0,0,200,250,50,0,33,True,True,True,3.00268700778274,0.0397070714073017,0.320997650843926,0.87381027819022,0.0011105837729031,0.05,15,0.0181269331668178,False,False,True,True,frozen_best_seed,True,876.020612955093,v3_8_final,0.528053725941596,3.00268700778274,0.0397070714073017,0.320997650843926,0.87381027819022,0.528053725941597,0.528053725941597,0,9.992007221626409e-16,9.992007221626409e-16,0.551596233035407,3.39687020772373,0.0011968937056743,0.661869401785401,1.431601371353324,0.528053725941596,3.00268700778274,0.0397070714073017,0.320997650843926,0.87381027819022,0.0,-2.08166817117217e-17,0.0,-1.110223024625156e-16,NONIDENTIFIABLE,ACCEPT,0.5276260661621756,0.5276260661621756,0.0,3.582281707373564,11.75681854552066,True,NONIDENTIFIABLE,0.5383339512917603,NONIDENTIFIABLE,0.5598395918970259,NONIDENTIFIABLE,0.605509109669865,IDENTIFIABLE,0.672647545624048,PRIMARY_MULTI_SWEEP,WT_150311,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,,True,250,0.31774167706156614,12,114,800.0,1.01677336659701,850.0,69,0.6052631578947368,0.3947368421052631,22.25,9.399999999999975,969.95,3.264610903456969,0.4102264907630643
WT,WT_07,707.544513580248,8,ACCEPT,ACCEPT,ACCEPT,,,MULTI_SWEEP,0.0089541269301869,0.0089541269301869,0,8,8,0,0,1.0,1.0,0.0,1.0,0.0,0.0089541269301869,1.12832649017315,0.0089541269301869,5.07084089056656,12.1739137922147,0,0,450,500,50,0,2,True,True,True,3.20511381810753,0.0011459239565885,3.67550749934334,0.63380153122048,0.0008957761936607,0.05,15,0.242508862832331,False,False,False,False,target_refine,True,354.332041978836,v3_8_final,0.0093293944543023,3.16635706425392,0.001874465007213,3.66127116031851,0.547927381647158,0.009329394454306,0.009329394454306,0,-0.0003752675241191,-0.0003752675241191,0.31137869077671,3.11100495165815,0.0035018522618956,5.17518397278305,0.618605699031084,0.0093293944543023,3.16635706425392,0.001874465007213,3.66127116031851,0.547927381647158,0.0387567538536135,-0.0007285410506244,0.0142363390248317,0.085874149573321,NONIDENTIFIABLE,ACCEPT,0.0088533402935713,0.0088533402935713,0.0,5.0700144990902025,12.173211677378404,True,IDENTIFIABLE,0.3125,NONIDENTIFIABLE,0.0528578159720231,NONIDENTIFIABLE,0.0122587041321353,IDENTIFIABLE,0.104883671100198,PRIMARY_MULTI_SWEEP,WT_150312,RECOVERED_FROM_ARCHIVE_FOLDER_OR_DAY_CODE,,True,500,0.706669319602167,8,2,700.0,0.989337047443035,850.0,2,1.0,0.0,28.44999999999999,19.299999999999983,14.600000000000009,0.0018988339369201,0.000189883393692
